day_of_week,notes,hour,minute,day,month,quarter,year,Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Press_max,Press_avg,Press_min,Precipit,Power Consumption
5,3,0,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,216.5524494
5,3,1,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,240.7232486
5,3,2,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,246.9692423
5,3,3,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,235.7505022
5,3,4,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,149.8859416
5,3,5,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,112.8209173
5,3,6,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,116.0644173
5,3,7,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,104.2253715
5,3,8,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,113.5962938
5,3,9,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,112.635086
5,3,10,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,102.123089
5,3,11,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,114.712242
5,3,12,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,109.1261103
5,3,13,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,105.5948648
5,3,14,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,115.3134462
5,3,15,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,103.6203657
5,3,16,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,113.3672612
5,3,17,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,112.875751
5,3,18,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,103.1708398
5,3,19,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,113.5397845
5,3,20,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,124.6195549
5,3,21,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,416.0072666
5,3,22,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,474.5917246
5,3,23,0,6,2,1,2016,76,71.2,66,74,70.3,66,100,96.8,89,18,7.8,0,29.8,29.8,29.7,4.33,236.3663302
6,3,0,0,6,3,1,2016,79,72.1,68,72,70,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,310.6751866
6,3,1,0,6,3,1,2016,79,72.1,68,72,70,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,259.7146109
6,3,2,0,6,3,1,2016,79,72.1,68,72,70,68,100,93.6,72,18,4.7,0,29.8,29.8,29.7,3.18,276.4540688
